Станция,Номер линии,Дата,4/3/2024,4/2/2024,4/1/2024,3/31/2024,3/30/2024,3/29/2024,3/28/2024,3/27/2024,3/26/2024,3/25/2024,3/24/2024,3/23/2024,3/22/2024,3/21/2024,3/20/2024,3/19/2024,3/18/2024,3/17/2024,3/16/2024,3/15/2024,3/14/2024,3/13/2024,3/12/2024,3/11/2024,3/10/2024,3/9/2024,3/8/2024,3/7/2024,3/6/2024,3/5/2024,3/4/2024,3/3/2024,3/2/2024,3/1/2024,2/29/2024,2/28/2024,2/27/2024,2/26/2024,2/25/2024,2/24/2024,2/23/2024,2/22/2024,2/21/2024,2/20/2024,2/19/2024,2/18/2024,2/17/2024,2/16/2024,2/15/2024,2/14/2024,2/13/2024,2/12/2024,2/11/2024,2/10/2024,2/9/2024,2/8/2024,2/7/2024,2/6/2024,2/5/2024,2/4/2024,2/3/2024,2/2/2024,2/1/2024,1/31/2024,1/30/2024,1/29/2024,1/28/2024,1/27/2024,1/26/2024,1/25/2024,1/24/2024,1/23/2024,1/22/2024,1/21/2024,1/20/2024,1/19/2024,1/18/2024,1/17/2024,1/16/2024,1/15/2024,1/14/2024,1/13/2024,1/12/2024,1/11/2024,1/10/2024,1/9/2024,1/8/2024,1/7/2024,1/6/2024,1/5/2024,1/4/2024,1/3/2024,1/2/2024,1/1/2024
Воробьевы горы С,8,СОКОЛЬНИЧЕСКАЯ,14559,8221,5337,15565,5765,2772,11024,6465,16341,9396,13498,2897,13876,13589,18564,15809,2985,2471,10495,16072,19154,19531,15177,8637,5501,3743,18579,1656,5026,1610,6394,13272,5498,13097,8157,18739,5687,13329,3405,11910,15983,17603,15289,10126,14271,15455,15930,11330,19026,15099,8422,9898,19501,18337,16244,8265,16371,11269,2899,2285,12408,7972,16775,1955,9242,12087,5016,2300,5001,16798,4983,6668,10667,19390,15892,15809,17208,5301,11419,2665,17280,12023,13253,7263,8880,11062,9048,6961,5314,2719,18950,19134,4641,8622
Комсомольская 2,609,КОЛЬЦЕВАЯ,19268,6031,13760,6530,3307,18989,18957,12424,13117,17213,9858,5506,1329,14987,17234,10488,8920,6593,17883,8979,14731,19029,15449,14424,16695,15489,3119,15267,17680,18873,3900,4383,16560,9271,1872,7631,7942,8180,1830,17386,13570,14096,11009,18321,1253,12086,10504,6891,4669,1934,7301,3079,5594,9819,16443,10007,4063,7995,8174,2138,5799,9112,3291,8971,7269,8476,15355,10560,11888,15911,2949,4759,3240,9829,1100,9840,14993,3967,13834,5165,3240,14276,14468,11002,17822,5153,16268,14241,6451,1973,6850,6289,10779,4843
Выхино 2,16,ТАГАНСК-КРАСНОПР,3331,16443,16451,7945,16913,6899,14838,19462,2174,4760,5158,16242,13005,5153,5416,8208,12284,4046,5034,1935,11885,14949,6869,16977,14039,10511,7384,3557,16984,6395,5875,14506,8466,1321,5472,3953,9316,2634,16440,12778,5104,13639,19083,11253,11758,10085,4295,16179,9318,17476,8144,17907,2474,1787,17588,9494,9157,8619,2781,14887,11165,2332,18332,7120,8941,1343,18954,6502,14006,7319,8250,5202,1732,14037,11338,3111,9598,18448,13668,15887,4294,6564,5991,2765,2445,15086,3710,13488,8555,3110,5052,8689,18140,6303
Петровский парк,1749,БКЛ,5237,4929,19901,15811,7939,6546,1407,14287,10868,19005,6391,3600,13763,3854,14232,19553,4360,19401,12052,3478,2502,2796,2879,16052,17358,1914,9936,6563,9208,12038,15985,3136,15793,3620,3908,16609,3696,15229,14178,13745,4702,10891,9372,8132,19951,3243,1695,15553,8207,18265,4721,12305,14888,12676,14973,16616,14801,4333,6430,5916,3160,10393,10058,7964,12405,14279,12387,7247,2135,4990,4662,11195,16498,6306,13252,2198,16298,17338,10991,6273,11960,18776,16438,7317,18625,12059,3698,12955,18846,6987,5692,8095,6857,14784
Дел. центр БКЛ,1749,БКЛ,3643,12151,17093,11964,14557,4549,14828,11715,6341,7467,4922,14251,17257,7225,17621,17312,13011,3158,10399,11717,12672,11347,7280,18879,3749,16018,17387,4340,18585,8819,3624,5257,3857,9164,11041,9097,4325,6239,11989,1995,10917,8285,18921,4608,4937,19565,15771,16316,1552,7610,9106,9644,9839,14048,14212,10895,11532,15340,18723,9427,4289,11137,5095,7519,18043,2853,18218,16754,11217,2294,19113,3987,11256,5883,3823,18707,19306,14132,1226,19336,3989,19304,12029,1932,7644,3003,11506,10788,18485,10147,4226,1213,6811,7616
Ховрино,9,ЗАМОСКВОРЕЦКАЯ,17337,16949,5371,3730,5941,11578,16208,11223,11639,19778,9209,19740,17637,16464,16461,16374,11090,9353,7036,3750,5259,6793,7441,17937,9226,15251,16514,11310,2366,5397,11340,12169,2054,18801,9927,19969,14739,5953,8887,3879,9805,11997,9534,19452,17353,16368,13463,12164,14144,4183,12802,16798,18013,19729,14597,19337,5791,13486,12407,11975,4942,8728,6302,10961,15711,9474,11681,1581,15598,3550,8720,7090,1577,11274,4615,17881,8147,15128,2746,12588,2187,9067,5598,3342,10984,19539,15729,18774,16882,11055,15676,12829,4125,17708
Шелепиха,1749,БКЛ,12782,17951,6372,11042,12187,12672,19595,16742,11091,19449,12996,9483,9036,1080,13194,19558,13719,2069,10967,9236,2436,5851,10991,12918,15320,5832,6822,8054,7492,11801,19860,15368,4763,9298,11488,6215,7544,15746,17315,14837,18780,15365,16735,7812,4126,7120,2472,3404,15451,4029,4067,13703,5646,11935,10989,4539,16515,3862,15963,9063,10856,19330,16438,6184,15047,15063,18077,19930,9906,4036,2075,10469,10266,7818,19129,16126,6991,13430,9698,19337,12833,11887,5726,2115,12988,5030,11964,19371,16379,19897,5468,4836,19005,9460
Хорошёвская,1749,БКЛ,6138,8169,17110,12689,1569,7364,16154,18785,11583,16708,18701,5547,7032,5814,9869,19328,1284,10614,19393,1371,17259,7606,7670,6131,17497,12056,11620,13346,11446,5334,8858,2291,12749,15142,19234,11487,10029,13846,14008,10752,11166,16997,16762,3353,8713,15705,14609,19715,10414,14723,15243,2956,3688,19030,18851,1873,15129,1353,11715,16136,7134,4731,1824,9226,6274,10924,11670,1896,14527,1472,9321,8068,4352,13348,11363,14996,9753,16833,18830,2038,1615,4751,17875,4061,6888,7395,15167,6012,16277,1782,15795,5972,16381,2542
ЦСКА,1749,БКЛ,3323,18537,16239,13617,6602,7940,11688,19506,17475,1836,14453,4699,1679,17753,13561,7414,12913,13712,17694,16446,18745,3848,7534,9731,19732,17867,10808,11163,19331,2774,13397,14765,11062,4352,19185,11260,18346,8173,9340,19559,12581,6906,4287,3747,12307,1199,16030,2152,16946,10517,11213,18387,4753,13304,3905,10327,3695,8202,1768,3890,10327,14486,17639,11808,19937,10440,1760,14489,18517,19578,2554,14679,2099,13531,6150,11921,5082,17081,17516,4072,7354,18086,10779,1870,19742,9495,16151,12366,5771,16586,9751,3312,12011,8653
Воробьёвы горы С,8,СОКОЛЬНИЧЕСКАЯ,8408,2869,14136,7710,8166,6441,5542,4222,15960,1710,4609,7967,8267,18297,19736,1606,6858,1816,14595,8101,14104,13763,16873,12011,5602,2815,18352,3192,1479,8258,19952,12399,3224,19624,17020,4844,18839,17314,7970,5471,3357,15002,17983,1759,5886,3884,15934,11158,8910,1346,2502,17468,6138,8235,2558,10489,9038,17911,17172,10639,4331,17172,14842,15090,10993,19773,9430,18459,6576,12925,3271,4262,8023,15194,16761,7451,19375,14114,1095,9949,5460,11315,2642,19311,4975,18537,14491,3879,15377,11154,15006,1388,9482,10440
Селигерская,18,ЛЮБЛИНСКАЯ,2451,18171,5404,12274,11081,5769,2710,7483,17166,12063,13348,8360,5556,2791,2101,10395,8271,15500,18635,1621,19458,15514,9793,18673,17611,13776,14184,8572,4395,5262,7893,10760,2577,10684,4684,14878,7539,6148,15227,17906,6114,15406,6635,17451,9730,7668,18036,14906,14565,18662,11830,16957,19506,3277,7712,10562,6144,4417,12623,18702,3250,12605,19277,15878,1163,19068,10649,13275,6817,12804,11739,3173,4106,10329,11580,19546,4633,1813,4126,5835,13855,11527,8057,2871,9724,3382,15144,17719,16253,12760,14569,15330,16256,7004
Верхние Лихоборы,18,ЛЮБЛИНСКАЯ,16298,6922,14083,16950,13997,12438,10550,2047,19295,7514,17628,15871,16897,11078,17397,12960,10762,14323,11789,4909,4391,4096,12784,1164,11857,18345,10092,16389,16822,4192,13117,2986,12577,2308,10773,2844,13164,16804,9010,19480,19256,10616,15301,18903,7295,3423,1673,17156,12809,3182,17892,12819,4467,16768,5476,6386,17576,11792,10920,14506,18708,15430,19135,16731,5717,12534,14253,16913,6448,7808,5166,12307,17053,13087,5809,14587,4197,13269,18914,6694,15553,10165,16623,14614,10653,13065,17059,1962,14090,8761,13648,18445,1541,16822
Окружная,18,ЛЮБЛИНСКАЯ,17329,6500,15076,3943,12535,4390,14754,6781,15054,14316,15370,5845,18238,8783,15104,18852,2593,8905,17901,13480,10932,11637,8300,6301,4158,15987,16016,2215,2671,17819,2915,19593,9120,11128,5646,2670,16290,15794,19985,3015,17102,7674,7978,1656,3711,5438,6445,1387,8223,12078,11682,4053,19028,12567,3326,19669,7482,4300,6678,10136,7897,9866,18219,12004,16953,12754,19461,8046,6021,13360,14222,11424,2410,11350,13782,14300,18105,9221,19510,12231,10212,10387,8192,1146,5872,6546,7982,7869,9059,12332,11774,10012,8771,16230
Шелепиха(Солнц.),1691,СОЛНЦЕВСКАЯ ЛИН.,12489,4293,1630,17608,5553,15810,13010,11887,18837,11670,3986,14696,3540,12092,12300,12133,12897,19483,9643,16607,16701,13978,17467,9871,6214,15089,15368,19045,19785,13358,18782,17903,17860,4725,18598,2690,2097,18706,5914,8689,2928,11615,3617,10077,7762,8502,5144,1040,4462,15950,9235,5774,13890,7113,12331,8715,10803,13058,11979,8841,6391,14288,7347,11744,5740,14538,2879,4454,15541,19207,9458,14269,2705,8559,12226,8958,2307,16105,19791,14490,18633,3127,8246,8224,8652,15397,15934,15533,10505,2467,13732,14895,4149,1784
Хорошев-я(Солнц),1691,СОЛНЦЕВСКАЯ ЛИН.,16041,8585,1077,3213,18158,11567,17451,5618,10446,15930,3531,19561,2150,11121,8346,5354,2391,5072,12974,10559,17669,3909,6918,11735,14340,13677,14642,10022,10090,1817,11135,13219,12720,14435,4805,18497,6036,5364,1335,11459,8097,14684,8085,12401,18517,1806,13358,3989,2272,19259,14859,4747,8589,3747,6697,4518,7005,13196,4607,1481,5179,4463,18529,6102,6536,9227,16088,14889,7382,3056,8280,10074,17012,4616,10801,1357,7420,10098,5840,8763,18123,14128,19228,4562,15605,7128,3816,13735,12330,12317,2944,6208,18164,15835
ЦСКА(Солнц.),1691,СОЛНЦЕВСКАЯ ЛИН.,11552,19882,17640,16558,10718,3396,16373,10035,9325,11516,4522,6886,15978,8601,3231,9529,14162,3689,9076,8543,13757,12403,11831,15979,4245,6686,16286,14508,15549,19856,14674,16412,10008,8397,4331,6736,5822,12691,17363,9228,18350,3666,9781,13547,17203,4697,16705,13359,16668,8784,1247,14458,17913,15151,2259,6318,16054,16281,3639,19062,7129,1001,6543,19822,2356,16083,12394,7775,13026,3546,12683,8248,2409,11783,15692,19082,19639,5738,15370,13330,4136,7842,17761,11937,15530,5755,15129,11028,8157,9806,11590,11972,13880,7180
Петр.парк(Солнц),1691,СОЛНЦЕВСКАЯ ЛИН.,12626,16296,6598,3623,10469,5772,2046,18090,6665,16164,13774,4529,5525,10707,17961,13942,12473,13716,5325,8035,3211,19227,18309,3735,12120,7599,13666,14602,13340,17870,13323,8129,1921,7700,3042,13635,19625,6823,9758,7828,8062,5729,17916,9326,14404,1519,7503,10985,11930,11793,10551,1648,17670,16138,16003,8106,14438,11276,10579,8134,6450,6782,13421,5807,4303,18185,2116,1148,13283,6329,11052,3843,5645,2183,6450,11198,19881,2544,18646,1540,4787,6717,7601,19778,7970,1262,12576,18714,17469,19405,11869,2157,19495,14185
Мичурин.пр-тСолЛ,1691,СОЛНЦЕВСКАЯ ЛИН.,15198,14063,4836,11599,7499,18864,17500,15979,1003,12687,8453,9706,5394,9912,15967,19849,4145,13314,9013,14766,6853,16414,6690,16878,18199,1803,17623,3003,18902,4740,1181,15715,4788,2121,3028,18144,17265,10705,17048,11476,8602,1453,6824,9356,2783,6861,14198,14712,11203,14855,17995,7124,6598,14603,16639,18721,6269,13875,11414,16506,2723,1059,2903,5322,4599,9794,3891,7194,10648,5288,17198,3834,17323,9440,5742,19715,4232,3684,17538,5807,3164,5118,10489,13798,6595,14322,7121,13049,8422,11466,8382,15833,13881,5912
Озёрная,1691,СОЛНЦЕВСКАЯ ЛИН.,17915,14746,9813,18038,11658,16829,5967,11231,17708,3715,17321,18357,8593,2685,6021,13135,18649,1795,14472,18465,11240,6677,14084,14171,14280,3261,4017,8940,4296,14561,6344,6527,1879,11246,16228,6192,4944,14247,9592,9671,1545,14858,5682,9144,8498,5600,13820,13675,9669,16880,6178,16028,14931,9733,19873,17691,13551,16488,4487,13407,15708,3341,12743,12140,18333,11639,18263,12309,12909,3345,13545,12778,16609,2913,13837,13357,12367,1682,17040,14820,9808,2407,18962,16072,12159,12792,17552,4733,14450,18003,1851,19352,10604,5667
Говорово,1691,СОЛНЦЕВСКАЯ ЛИН.,14074,19465,14852,17613,11418,16780,9804,18826,8780,2089,11249,5133,15224,6947,5302,1448,9461,14766,16862,16705,2194,11674,8602,17597,8175,9180,18723,16893,12034,8458,15371,6001,12877,17526,1677,11139,13168,2663,2674,17465,15449,2749,17393,11969,6673,3865,2999,4857,8587,15035,8243,6458,2302,8023,5384,2133,6084,3112,4956,7748,19047,6555,8384,10875,13653,6313,17452,9653,16676,16349,9778,6120,9176,3327,19083,7713,3412,17809,7654,16950,18228,15118,9766,18422,14938,15378,4138,4680,3991,13050,15683,11677,2118,11144
Солнцево,1691,СОЛНЦЕВСКАЯ ЛИН.,17441,18605,11563,19511,12826,12623,2621,18502,7596,9256,4628,9517,7588,3567,12411,10802,2678,18442,2165,17633,3160,18903,14995,12218,17140,11158,8164,9785,9706,7464,18581,12754,9368,2614,6363,7483,19285,17945,6076,11631,1081,13922,12044,1596,11657,5828,3404,9986,11461,13368,15031,19708,2315,16543,16790,14904,7708,6551,17912,4484,16969,19534,12009,2516,13455,15697,11044,3865,15228,2586,19290,15646,3913,14438,13512,12701,11364,17597,13646,16729,9656,1756,4497,16011,14041,14371,5124,7771,18437,12056,16728,16109,6080,4148
Боровское шоссе,1691,СОЛНЦЕВСКАЯ ЛИН.,19560,3656,4807,16537,8133,5875,17216,2807,2317,14026,13981,11859,4672,12664,7337,19895,9025,15070,2806,14055,15092,15748,4964,9736,6200,8902,6544,7615,7323,5785,10546,4008,4046,15093,6529,1238,8771,12799,1015,12776,4141,3290,13779,7000,13538,1326,7596,6587,3412,3851,6668,10891,6913,7155,4979,16771,12436,1278,4425,15658,2138,14046,7413,7955,4505,19565,1911,19951,6546,15401,13885,15459,3113,4802,10001,9086,15857,4285,3074,12798,6185,2545,8010,1328,13875,2192,15120,17441,19360,11270,4660,12769,4415,14600
Новопеределкино,1691,СОЛНЦЕВСКАЯ ЛИН.,19273,17285,14969,2365,16144,12442,17631,18181,5916,7874,13067,6467,17362,2494,2563,15390,13084,17740,19827,13176,10875,5046,6758,12137,12010,2146,9187,18847,14823,1251,18258,14270,5308,6272,14086,1550,12758,5674,9355,15119,6630,9322,5666,16046,6975,18027,12626,2632,8364,14175,19053,3415,6637,15284,8731,7152,16423,15551,4067,2311,6545,4250,2519,16458,8874,10755,1829,19357,10989,5454,8880,19344,10510,3262,3405,2685,15910,9190,1076,7191,5938,11011,14202,15610,14100,12156,6351,19451,16616,2165,1760,17639,12554,14988
Рассказовка,1691,СОЛНЦЕВСКАЯ ЛИН.,10433,1042,6388,6559,3922,1654,15588,7135,6660,5761,18362,9860,17339,6313,6902,11159,3294,3312,5722,8473,9553,2685,12179,4403,4033,5426,16354,9085,14943,18184,17253,13330,2335,19031,9834,7774,15930,14890,6196,17099,3095,6155,8954,6196,4378,17405,6104,1374,11407,15639,5637,6637,6784,6991,6899,10555,5230,14788,1254,15253,16344,19433,6182,18279,1186,4933,6144,14847,13844,14423,18624,15715,1475,10061,10407,8819,19962,18834,2012,10943,3230,8189,18106,14142,11592,5973,8808,3042,4860,12881,11023,1329,16338,8734
Беломорская,9,ЗАМОСКВОРЕЦКАЯ,7289,6501,15042,16943,6449,3980,19325,10090,4380,5299,12206,18392,5703,10065,5282,12298,9841,9750,16136,11521,1254,3771,4196,6957,2190,7619,13869,1901,8874,14458,3396,7691,3082,6434,2002,12137,4237,19163,14883,18470,17258,15419,12623,8134,12299,4709,14616,7962,17694,19266,6184,2550,14100,11310,18267,14283,14682,6791,4650,7455,19519,5918,16947,4628,17412,4037,14055,15832,11882,5526,6183,9013,5430,13818,2129,1197,14053,11180,13111,18904,3328,1591,18203,12704,5129,5206,16651,15663,8541,6867,5301,9695,8368,13452
Савёловская БКЛ,1749,БКЛ,16180,19755,17268,8735,17375,16792,5371,12782,19612,12700,6600,10875,7194,2464,17947,16454,18508,11292,15049,1037,9551,3148,2749,19284,17443,4145,8927,15381,13022,5720,18499,10602,17717,13332,15252,15656,15258,9955,16227,18052,11473,16007,5048,8517,2838,11348,11635,12766,18581,18104,15172,16505,9803,12863,1779,5266,2054,15464,10925,12866,1331,8989,10582,12047,1927,5651,19180,11348,15010,3965,10493,19588,14041,1875,16095,16105,2343,12075,17758,12789,3568,10646,4911,11609,12074,1946,2274,15109,4755,4211,15082,1033,7143,6620
Филатов луг,8,СОКОЛЬНИЧЕСКАЯ,8488,9564,10530,2210,19624,6349,4166,16961,15407,9031,2189,11800,19594,7924,6508,14738,2340,11071,11226,2179,6884,11503,2508,11168,1382,8431,4254,9791,5383,1063,3978,6061,1689,18051,10714,6617,7157,6839,11732,10646,5076,16498,6206,13947,6791,4262,8634,8594,18650,13326,13590,5175,15136,9482,17149,6221,18993,4626,18457,10986,3646,11176,10156,18657,10958,6512,10345,8972,3971,1219,13651,18172,19180,16166,19488,6576,4652,2454,11115,1812,19894,13861,15047,18774,17641,7243,10717,8903,16569,2349,1928,12395,18476,2006
Прокшино,8,СОКОЛЬНИЧЕСКАЯ,10524,3646,17255,5896,1677,8444,10898,12736,7033,14928,5995,3506,15228,1992,18594,2625,11948,2434,10479,6568,17512,13878,11767,3271,14654,9190,8831,2425,8123,1002,3725,12372,17894,16488,9686,3039,15025,14930,5871,11251,12710,15364,3913,12686,4490,11637,4817,16976,18402,19667,3467,8908,14674,9368,15175,10857,1567,2463,3604,10923,10783,11892,3503,15140,18661,8416,8621,12193,10990,5651,10123,8745,7285,19279,4551,13699,7837,7309,2372,10816,15775,2212,5300,5368,11829,2886,15192,16742,9467,14605,13785,9693,15749,8455
Ольховая,8,СОКОЛЬНИЧЕСКАЯ,6183,14250,18599,12918,13340,4103,14893,17271,5962,16473,1500,9004,15674,11782,8921,12157,16160,12432,16034,4556,13867,1913,9781,2005,11497,3615,18308,14323,9126,13168,13714,9006,3875,17729,19132,17351,6563,13691,11564,18375,14582,5997,10583,18075,18400,5460,1022,7872,14322,12017,12759,8861,7951,17012,4099,18582,6493,16871,8983,13880,8539,19253,3536,17611,13266,19902,16399,10595,6147,1609,8969,9513,11613,4954,13812,4072,4624,9446,11046,4936,12379,4341,1870,7316,4110,13054,3385,3682,12102,2363,9997,5592,4652,15897
Коммунарка,8,СОКОЛЬНИЧЕСКАЯ,16495,3946,17633,12475,13895,19867,15087,1683,8225,11848,5786,4297,19535,12083,11379,10166,4746,16862,4207,14233,3374,6878,19619,7227,16849,11997,18927,10715,14897,19753,16082,19846,16415,12246,8242,15824,3873,11828,16416,10056,16412,17039,16165,8336,16540,3910,1700,10585,1688,15913,6955,13266,3641,19826,7992,14424,6870,3086,16282,8880,4150,15760,19654,6402,18899,16809,19736,8079,2177,18952,7699,14111,16457,7320,7176,7958,14945,9831,16045,6588,18573,7216,19523,13761,9463,4699,7818,4891,11462,15789,7534,13945,3600,11311
Косино,1779,НЕКРАСОВСКАЯ,15040,8818,17330,9025,1784,11017,7161,9754,15804,7443,18974,1249,10130,7604,14030,4848,4630,13797,6007,3756,9600,8230,7374,16309,9796,17880,11664,4032,8638,15319,19720,14567,7770,19689,13936,13287,13164,1450,2798,5480,6677,3259,5649,2532,14743,19494,1545,8793,17401,12036,16553,10934,14570,11907,15369,19267,1712,7630,2945,6003,14053,1625,18421,14742,9292,13317,15251,2960,1547,4605,10827,1393,3486,7554,12831,19225,10197,15440,9014,11716,16026,13893,14910,12787,17335,1999,15655,8115,18361,2768,16212,10103,13272,10118
Ул.Дмитриевского,1779,НЕКРАСОВСКАЯ,1831,5505,17365,12132,15982,6271,6625,13828,11086,16963,17110,4602,8758,6912,7745,9805,10372,16657,14317,9401,5976,3936,6529,1308,9738,17710,17230,17629,19157,11391,17040,4310,10567,2232,5174,6459,9228,14717,7352,17775,16526,17116,15305,2498,17296,17998,1231,19967,9953,4593,3324,2881,4155,8762,5721,7559,18309,15969,17718,7406,17644,18311,10864,2905,11537,15042,19852,18414,10391,1164,2450,9984,2139,10338,1125,14822,14904,6269,18429,17983,5146,6776,6617,18182,15428,9025,7133,8666,3309,17743,7186,3726,8643,15306
Лухмановская,1779,НЕКРАСОВСКАЯ,18603,7055,3088,19049,12047,15200,7795,10198,1632,3573,13037,19802,8764,2943,18260,15837,4094,2241,2312,10633,6840,5825,18129,11858,3384,11217,12710,1487,16177,3864,1865,10068,5034,11639,8023,18179,8911,19603,7853,1136,13521,11682,17129,5847,13087,3800,2449,13920,13216,18909,4171,3929,11782,2396,6941,4811,4509,18578,5890,2405,13791,15859,17031,1059,18323,12201,3920,18443,18525,10616,8526,9631,11429,1226,9592,11665,9999,10308,16516,1789,19750,18885,11436,11260,8235,13162,10430,15232,7969,7166,10217,12247,2882,19171
Некрасовка,1779,НЕКРАСОВСКАЯ,1134,2954,13460,7483,15052,3559,3598,5732,1359,18201,17644,1547,4707,3068,11983,6501,11473,13714,17989,13071,9304,10200,11398,18884,19413,5041,18403,12428,7327,9671,5064,6696,17258,19018,5954,18418,13850,14330,18504,3799,17857,9611,1031,13832,17400,11917,5264,6179,16979,1051,14387,18717,5415,11023,7050,19302,2629,2543,19069,18168,1620,2480,17385,3144,18728,18923,6676,14066,19550,13341,6580,1555,2220,7760,17203,7742,19856,14188,4820,13807,3357,9925,14898,17217,10695,12015,13017,15120,17302,14144,12696,3209,3175,3851
Юго-Восточная,1779,НЕКРАСОВСКАЯ,4602,9765,1674,4686,1971,19171,9524,9539,10604,1383,9438,15362,3004,13034,3550,17351,12387,1924,8762,6986,15889,13982,7251,11217,5419,4755,15517,19939,6909,2568,3442,9778,13097,7817,5327,19526,11487,1258,2347,2017,6808,4599,14800,11401,7975,8746,9887,19771,3069,11060,1129,2531,19428,9446,6110,11557,17350,2919,10075,9008,6655,6967,1153,8749,9871,3283,4222,17645,2019,15642,14332,17099,5271,9016,10183,18788,16572,12228,10736,12105,1545,15686,4551,1828,9206,7755,14326,15857,17691,13893,8754,14061,4443,1306
Окская,1779,НЕКРАСОВСКАЯ,6430,13400,16794,1820,3074,4735,8369,18724,4228,10619,12769,11430,3853,13169,1500,15201,18306,19106,1676,10345,7434,7196,9715,4170,16965,17634,15551,8625,4460,11687,8397,7749,12444,19229,19715,5878,17699,5782,13907,4113,19863,3327,14502,14137,11619,2633,11471,18043,2361,16671,11666,15611,9120,8227,3811,4748,16199,15721,5794,1329,8793,14372,15656,19407,7825,5071,3554,7298,15277,19327,7043,11751,16260,15004,16584,10714,8110,18178,7791,18180,12444,16607,6580,8168,8337,10413,12410,18309,1062,3375,4816,15309,2923,1641
Стахановская,1779,НЕКРАСОВСКАЯ,5965,18598,12471,13579,16649,17434,9297,14248,18198,11487,7625,4665,15732,14394,9313,10063,5167,10843,4649,9918,16920,12666,13813,7032,18016,6931,11694,11006,6606,4414,1295,11720,15457,18049,11050,13784,13447,11243,14395,6718,11965,11455,2314,4495,2624,17945,16421,3812,13090,4610,10220,15541,3659,5783,16276,18897,11214,15082,1255,6551,4341,5052,17949,3049,9477,7239,19485,16925,17401,2111,9912,1508,11840,1742,17671,6357,12606,14246,1675,12789,1568,5029,5215,5639,8723,19023,16343,6113,10932,13063,10773,18668,8364,14593
Нижегородская,1779,НЕКРАСОВСКАЯ,7107,4503,19813,9557,17308,5590,4326,18366,9149,5031,16613,8269,1151,19272,10707,7879,4420,1397,8578,9783,15900,6365,17315,19712,1066,1135,3397,7011,12366,16502,12105,7514,4429,12128,16201,2144,3940,2417,9568,11162,19275,9305,10318,12605,9672,12079,14213,1079,2660,18026,16334,18947,6159,11199,4555,6154,4023,11740,2921,18187,13907,2868,17276,16437,2706,15051,8596,4303,9882,7837,3338,7078,11311,4525,3759,17689,4579,15946,18855,5999,11645,17074,17947,17188,11767,15480,18654,7095,18498,4202,12002,19477,6559,7458
Авиамоторная БКЛ,1749,БКЛ,6787,14694,10799,15965,9655,9548,18798,3923,13549,7778,11546,18104,11577,16175,16174,11259,8945,17220,14765,9337,4344,10318,12456,18056,18660,13381,8081,8073,12403,18935,18253,3381,15811,1732,6292,6152,3234,16149,19336,4843,13752,7417,13975,11191,5769,11588,8752,16003,1000,2091,2734,17450,9316,8354,7877,5616,18158,18671,11867,11231,3639,13767,8466,8865,18289,19767,15546,10351,4236,7395,9065,13259,8699,6668,14674,16140,5509,10534,1442,12753,14883,11487,6845,15113,2156,16013,9163,4735,13331,11031,8156,10896,3053,18018
Лефортово,1749,БКЛ,6699,13689,14085,14408,15824,15464,10686,2360,5133,3317,12464,6450,14732,4773,4692,11840,5232,19649,4277,1648,11271,9320,11660,3726,4123,14435,10469,12749,2560,7151,12830,4840,7216,7507,12694,13295,7190,14865,14557,17818,2572,17665,1440,11952,5570,1150,19724,17837,8222,3563,6432,12034,8383,10335,9212,6024,9167,10733,8451,3088,7386,4630,8212,2679,9903,15005,17755,14861,5907,14347,9455,10454,12281,11862,7244,14424,1873,14434,16460,14260,2008,13473,17243,14932,16654,16117,12740,5829,17308,9158,15507,3249,14558,7972
ТПУ Рязанская,1779,НЕКРАСОВСКАЯ,1508,19344,7016,13862,13791,15406,18725,6965,2356,16657,5866,13817,9545,12506,10499,9566,3438,19002,16975,1743,6097,13923,12914,14612,15419,2156,8482,17435,8039,15151,15297,14442,6251,12958,17547,2592,5010,13094,15256,14927,2566,15338,5164,17655,11281,2959,9554,2857,1439,16479,19640,15378,9803,5786,17047,10166,8235,17826,5375,10886,7524,11564,9936,8565,12115,17030,7354,11101,14504,2273,16431,13339,3166,2010,7949,12491,7069,18216,7926,14289,1061,16702,17869,19160,11373,15183,1674,4273,1578,16545,2704,2371,1597,4730
Авиамоторная нек,1779,НЕКРАСОВСКАЯ,9513,14669,10575,16536,1050,12598,11416,1237,1997,10043,6419,2255,8421,16819,12833,18302,4234,16798,7754,6599,7575,11507,10568,5153,13199,6756,19248,18522,15147,17202,3832,7041,16394,6410,18625,5796,16571,13909,11078,8959,16785,16245,1944,14873,10386,18693,2742,2857,4358,14018,13695,14180,3121,7136,4633,18517,17476,5557,11947,1753,19392,10782,17723,18267,6533,3085,12805,7012,16273,4675,10400,16821,5107,19210,9054,10394,18432,19437,8021,18853,17585,1152,11173,18264,12490,15080,16973,2909,9812,16375,6080,19469,14347,8366
